Installation Code;District;Municipality;Geographic Coordinates;Installed Power [kVA];Usage Level [%];Construction Type;Contracted Power [kVA];Number of Clients;Power Generation [kW];Number of Client Producers;Usage Histogram;DistrictCode;DistrictMunicipalityCode
1312D2091500;Porto;Porto;41.17268348168114, -8.634446540061269;630;0%-19%;Cabine baixa em edifício próprio;1196.95;181;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6216.25;1989.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2017000;Porto;Porto;41.170954836763634, -8.61973039671906;630;20%-39%;Cabine baixa integrada em edifício;2005.91;346;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;447.75;4045.25;3178.0;639.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2115200;Porto;Porto;41.170301052104264, -8.636280921848172;630;0%-19%;Cabine baixa integrada em edifício;422.05;63;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8312.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2095800;Porto;Porto;41.17640795884497, -8.615981831906;630;20%-39%;Cabine pré-fabricada;2188.48;336;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1295.75;5606.25;1409.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2057600;Porto;Porto;41.16762504999796, -8.623197786836881;630;20%-39%;Cabine subterrânea;2044.89;272;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;298.75;3394.25;3704.25;912.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2061000;Porto;Porto;41.162279389381546, -8.64805359251237;1260;0%-19%;Cabine subterrânea;1291.47;147;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7667.75;641.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2085400;Porto;Porto;41.17178901190974, -8.638153948134871;630;N/D;Cabine baixa em edifício próprio;812.67;123;N/D;<20;;13;1312
1312D2088500;Porto;Porto;41.178218991824345, -8.62623204796426;630;0%-19%;Cabine baixa integrada em edifício;1082.68;154;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4446.25;3868.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2073500;Porto;Porto;41.15137740734983, -8.670573073812179;400;20%-39%;Cabine baixa em edifício próprio;800.50;80;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.25;3740.75;3909.0;651.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2016600;Porto;Porto;41.168386751050576, -8.629930156883509;630;20%-39%;Cabine baixa em edifício próprio;1229.97;203;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1210.5;5432.25;1585.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2032500;Porto;Porto;41.17814972508306, -8.578375864504961;630;0%-19%;Cabine baixa em edifício próprio;370.54;47;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8271.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2048500;Porto;Porto;41.16148790239518, -8.625016492395858;630;0%-19%;Cabine subterrânea;824.55;110;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6359.5;1955.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2053000;Porto;Porto;41.182126379876415, -8.611467285173836;630;20%-39%;Cabine subterrânea;1542.52;241;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1888.25;4758.0;1665.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2116700;Porto;Porto;41.18460539465999, -8.603455108612653;630;20%-39%;Cabine baixa integrada em edifício;665.85;79;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1403.25;5581.5;1328.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2006200;Porto;Porto;41.1662066519469, -8.572493730314733;1260;20%-39%;Cabine baixa em edifício próprio;1813.62;329;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2812.5;4782.5;699.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2080000;Porto;Porto;41.16357255405472, -8.596098837368455;630;20%-39%;Cabine baixa integrada em edifício;1561.71;128;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3009.25;4779.25;530.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2060600;Porto;Porto;41.16292720406772, -8.638988467336624;630;20%-39%;Cabine subterrânea;1360.60;186;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1426.25;4745.5;2138.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2101200;Porto;Porto;41.15627569351932, -8.64735961622259;630;0%-19%;Cabine pré-fabricada;678.18;99;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;296.75;6227.0;1799.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
